job_id	model_tag	loss	run_name	script
3378662	qwen3_1.7b	rkl005	st_tt_rkl_clip005_1e_6_openthoughts_1p7b	scripts/train/qwen3_1.7b/rkl005/opsd_student_think_teacher_think_rkl_clip005_1e_6_openthoughts.sh
3378663	qwen3_1.7b	jsd_sym005	st_tt_jsd_clip005_1e_6_openthoughts_1p7b	scripts/train/qwen3_1.7b/jsd_sym005/opsd_student_think_teacher_think_jsd_clip005_1e_6_openthoughts.sh
3378664	qwen3_4b	rkl005	st_tt_rkl_clip005_1e_6_openthoughts_4b	scripts/train/qwen3_4b/rkl005/opsd_student_think_teacher_think_rkl_clip005_1e_6_openthoughts.sh
3378665	qwen3_4b	jsd_sym005	st_tt_jsd_clip005_1e_6_openthoughts_4b	scripts/train/qwen3_4b/jsd_sym005/opsd_student_think_teacher_think_jsd_clip005_1e_6_openthoughts.sh
3378666	qwen3_4b_thinking	rkl005	st_tt_rkl_clip005_1e_6_openthoughts_4bt	scripts/train/qwen3_4b_thinking/rkl005/opsd_student_think_teacher_think_rkl_clip005_1e_6_openthoughts.sh
3378667	qwen3_4b_thinking	jsd_sym005	st_tt_jsd_clip005_1e_6_openthoughts_4bt	scripts/train/qwen3_4b_thinking/jsd_sym005/opsd_student_think_teacher_think_jsd_clip005_1e_6_openthoughts.sh
3378668	olmo3_7b_think	rkl005	st_tt_rkl_clip005_1e_6_openthoughts_olmo7bt	scripts/train/olmo3_7b_think/rkl005/opsd_student_think_teacher_think_rkl_clip005_1e_6_openthoughts.sh
3378669	olmo3_7b_think	jsd_sym005	st_tt_jsd_clip005_1e_6_openthoughts_olmo7bt	scripts/train/olmo3_7b_think/jsd_sym005/opsd_student_think_teacher_think_jsd_clip005_1e_6_openthoughts.sh
3378670	olmo3_7b_instruct	rkl005	snt_tnt_rkl_clip005_1e_6_openthoughts_olmo7bi	scripts/train/olmo3_7b_instruct/rkl005/opsd_student_nothink_teacher_nothink_rkl_clip005_1e_6_openthoughts.sh
3378671	olmo3_7b_instruct	jsd_sym005	snt_tnt_jsd_clip005_1e_6_openthoughts_olmo7bi	scripts/train/olmo3_7b_instruct/jsd_sym005/opsd_student_nothink_teacher_nothink_jsd_clip005_1e_6_openthoughts.sh
3384206	olmo3_7b_think	jsd_sym005	st_tt_jsd_clip005_1e_6_openthoughts_olmo7bt	scripts/train/olmo3_7b_think/jsd_sym005/opsd_student_think_teacher_think_jsd_clip005_1e_6_openthoughts.sh  # retry of 3378669
